example_id,split,category_slug,weight_kg,length_cm,width_cm,height_cm,volume_cm3,origin_country_code,transport_mode,stock,moq,supplier_rating,target_offer_price_usd,feature_source,label_source,is_synthetic
offer-LPC-004-STD-2,train,laptop-pc-accessories,0.120,12.00,7.00,4.00,336.000,MY,BULK,400,10,4.63,8.10,seed_derived,pseudo_formula,1
offer-LPC-004-STD-3,train,laptop-pc-accessories,0.120,12.00,7.00,4.00,336.000,CN,LOCAL,90,1,4.61,9.54,seed_derived,pseudo_formula,1
offer-LPC-004-STD-4,train,laptop-pc-accessories,0.120,12.00,7.00,4.00,336.000,SG,BULK,280,8,4.69,8.46,seed_derived,pseudo_formula,1
offer-LPC-005-STD-1,test,laptop-pc-accessories,0.450,30.00,14.00,3.00,1260.000,MY,LOCAL,120,1,4.63,14.00,seed_derived,pseudo_formula,1
offer-LPC-005-STD-2,test,laptop-pc-accessories,0.450,30.00,14.00,3.00,1260.000,MY,BULK,400,10,4.63,12.60,seed_derived,pseudo_formula,1
offer-LPC-005-STD-3,test,laptop-pc-accessories,0.450,30.00,14.00,3.00,1260.000,CN,LOCAL,90,1,4.61,14.84,seed_derived,pseudo_formula,1
offer-LPC-005-STD-4,test,laptop-pc-accessories,0.450,30.00,14.00,3.00,1260.000,SG,BULK,280,8,4.69,13.16,seed_derived,pseudo_formula,1
offer-LPC-006-STD-1,train,laptop-pc-accessories,0.120,13.00,6.00,2.00,156.000,MY,LOCAL,120,1,4.63,22.00,seed_derived,pseudo_formula,1
offer-LPC-006-STD-2,train,laptop-pc-accessories,0.120,13.00,6.00,2.00,156.000,MY,BULK,400,10,4.63,19.80,seed_derived,pseudo_formula,1
offer-LPC-006-STD-3,train,laptop-pc-accessories,0.120,13.00,6.00,2.00,156.000,CN,LOCAL,90,1,4.61,23.32,seed_derived,pseudo_formula,1
offer-LPC-006-STD-4,train,laptop-pc-accessories,0.120,13.00,6.00,2.00,156.000,SG,BULK,280,8,4.69,20.68,seed_derived,pseudo_formula,1
offer-LPC-007-STD-1,train,laptop-pc-accessories,0.250,16.00,10.00,8.00,1280.000,MY,LOCAL,120,1,4.63,19.00,seed_derived,pseudo_formula,1
offer-LPC-007-STD-2,train,laptop-pc-accessories,0.250,16.00,10.00,8.00,1280.000,MY,BULK,400,10,4.63,17.10,seed_derived,pseudo_formula,1
offer-LPC-007-STD-3,train,laptop-pc-accessories,0.250,16.00,10.00,8.00,1280.000,CN,LOCAL,90,1,4.61,20.14,seed_derived,pseudo_formula,1
offer-LPC-007-STD-4,train,laptop-pc-accessories,0.250,16.00,10.00,8.00,1280.000,SG,BULK,280,8,4.69,17.86,seed_derived,pseudo_formula,1
offer-LPC-008-STD-1,test,laptop-pc-accessories,0.550,27.00,6.00,5.00,810.000,MY,LOCAL,120,1,4.63,15.00,seed_derived,pseudo_formula,1
offer-LPC-008-STD-2,test,laptop-pc-accessories,0.550,27.00,6.00,5.00,810.000,MY,BULK,400,10,4.63,13.50,seed_derived,pseudo_formula,1
offer-LPC-008-STD-3,test,laptop-pc-accessories,0.550,27.00,6.00,5.00,810.000,CN,LOCAL,90,1,4.61,15.90,seed_derived,pseudo_formula,1
offer-LPC-008-STD-4,test,laptop-pc-accessories,0.550,27.00,6.00,5.00,810.000,SG,BULK,280,8,4.69,14.10,seed_derived,pseudo_formula,1
offer-LPC-009-STD-1,train,laptop-pc-accessories,0.010,8.00,5.00,1.00,40.000,MY,LOCAL,120,1,4.63,1.50,seed_derived,pseudo_formula,1
offer-LPC-009-STD-2,train,laptop-pc-accessories,0.010,8.00,5.00,1.00,40.000,MY,BULK,400,10,4.63,1.35,seed_derived,pseudo_formula,1
offer-LPC-009-STD-3,train,laptop-pc-accessories,0.010,8.00,5.00,1.00,40.000,CN,LOCAL,90,1,4.61,1.59,seed_derived,pseudo_formula,1
offer-LPC-009-STD-4,train,laptop-pc-accessories,0.010,8.00,5.00,1.00,40.000,SG,BULK,280,8,4.69,1.41,seed_derived,pseudo_formula,1
offer-LPC-010-STD-1,test,laptop-pc-accessories,0.800,45.00,12.00,8.00,4320.000,MY,LOCAL,120,1,4.63,12.00,seed_derived,pseudo_formula,1
offer-LPC-010-STD-2,test,laptop-pc-accessories,0.800,45.00,12.00,8.00,4320.000,MY,BULK,400,10,4.63,10.80,seed_derived,pseudo_formula,1
offer-LPC-010-STD-3,test,laptop-pc-accessories,0.800,45.00,12.00,8.00,4320.000,CN,LOCAL,90,1,4.61,12.72,seed_derived,pseudo_formula,1
offer-LPC-010-STD-4,test,laptop-pc-accessories,0.800,45.00,12.00,8.00,4320.000,SG,BULK,280,8,4.69,11.28,seed_derived,pseudo_formula,1
offer-LPC-011-STD-1,train,laptop-pc-accessories,0.350,42.00,8.00,8.00,2688.000,MY,LOCAL,120,1,4.63,6.00,seed_derived,pseudo_formula,1
offer-LPC-011-STD-2,train,laptop-pc-accessories,0.350,42.00,8.00,8.00,2688.000,MY,BULK,400,10,4.63,5.40,seed_derived,pseudo_formula,1
offer-LPC-011-STD-3,train,laptop-pc-accessories,0.350,42.00,8.00,8.00,2688.000,CN,LOCAL,90,1,4.61,6.36,seed_derived,pseudo_formula,1
offer-LPC-011-STD-4,train,laptop-pc-accessories,0.350,42.00,8.00,8.00,2688.000,SG,BULK,280,8,4.69,5.64,seed_derived,pseudo_formula,1
offer-LPC-012-STD-1,validation,laptop-pc-accessories,0.750,40.00,29.00,6.00,6960.000,MY,LOCAL,120,1,4.63,17.00,seed_derived,pseudo_formula,1
offer-LPC-012-STD-2,validation,laptop-pc-accessories,0.750,40.00,29.00,6.00,6960.000,MY,BULK,400,10,4.63,15.30,seed_derived,pseudo_formula,1
offer-LPC-012-STD-3,validation,laptop-pc-accessories,0.750,40.00,29.00,6.00,6960.000,CN,LOCAL,90,1,4.61,18.02,seed_derived,pseudo_formula,1
offer-LPC-012-STD-4,validation,laptop-pc-accessories,0.750,40.00,29.00,6.00,6960.000,SG,BULK,280,8,4.69,15.98,seed_derived,pseudo_formula,1
offer-EDU-001-STD-1,train,educational-academic-tools,0.180,20.00,9.00,2.00,360.000,IN,LOCAL,120,1,4.57,4.20,seed_derived,pseudo_formula,1
offer-EDU-001-STD-2,train,educational-academic-tools,0.180,20.00,9.00,2.00,360.000,IN,BULK,400,10,4.57,3.78,seed_derived,pseudo_formula,1
offer-EDU-001-STD-3,train,educational-academic-tools,0.180,20.00,9.00,2.00,360.000,CN,LOCAL,90,1,4.61,4.45,seed_derived,pseudo_formula,1
offer-EDU-001-STD-4,train,educational-academic-tools,0.180,20.00,9.00,2.00,360.000,MY,BULK,280,8,4.63,3.95,seed_derived,pseudo_formula,1
offer-EDU-002-STD-1,test,educational-academic-tools,0.420,32.00,24.00,2.00,1536.000,IN,LOCAL,120,1,4.57,5.80,seed_derived,pseudo_formula,1
offer-EDU-002-STD-2,test,educational-academic-tools,0.420,32.00,24.00,2.00,1536.000,IN,BULK,400,10,4.57,5.22,seed_derived,pseudo_formula,1
offer-EDU-002-STD-3,test,educational-academic-tools,0.420,32.00,24.00,2.00,1536.000,CN,LOCAL,90,1,4.61,6.15,seed_derived,pseudo_formula,1
offer-EDU-002-STD-4,test,educational-academic-tools,0.420,32.00,24.00,2.00,1536.000,MY,BULK,280,8,4.63,5.45,seed_derived,pseudo_formula,1
offer-EDU-003-STD-1,train,educational-academic-tools,0.350,22.00,16.00,5.00,1760.000,IN,LOCAL,120,1,4.57,6.50,seed_derived,pseudo_formula,1
offer-EDU-003-STD-2,train,educational-academic-tools,0.350,22.00,16.00,5.00,1760.000,IN,BULK,400,10,4.57,5.85,seed_derived,pseudo_formula,1
offer-EDU-003-STD-3,train,educational-academic-tools,0.350,22.00,16.00,5.00,1760.000,CN,LOCAL,90,1,4.61,6.89,seed_derived,pseudo_formula,1
offer-EDU-003-STD-4,train,educational-academic-tools,0.350,22.00,16.00,5.00,1760.000,MY,BULK,280,8,4.63,6.11,seed_derived,pseudo_formula,1
offer-EDU-004-STD-1,train,educational-academic-tools,0.300,18.00,12.00,5.00,1080.000,IN,LOCAL,120,1,4.57,5.50,seed_derived,pseudo_formula,1
offer-EDU-004-STD-2,train,educational-academic-tools,0.300,18.00,12.00,5.00,1080.000,IN,BULK,400,10,4.57,4.95,seed_derived,pseudo_formula,1
offer-EDU-004-STD-3,train,educational-academic-tools,0.300,18.00,12.00,5.00,1080.000,CN,LOCAL,90,1,4.61,5.83,seed_derived,pseudo_formula,1
offer-EDU-004-STD-4,train,educational-academic-tools,0.300,18.00,12.00,5.00,1080.000,MY,BULK,280,8,4.63,5.17,seed_derived,pseudo_formula,1
offer-EDU-005-STD-1,train,educational-academic-tools,0.520,27.00,22.00,5.00,2970.000,IN,LOCAL,120,1,4.57,9.50,seed_derived,pseudo_formula,1
offer-EDU-005-STD-2,train,educational-academic-tools,0.520,27.00,22.00,5.00,2970.000,IN,BULK,400,10,4.57,8.55,seed_derived,pseudo_formula,1
offer-EDU-005-STD-3,train,educational-academic-tools,0.520,27.00,22.00,5.00,2970.000,CN,LOCAL,90,1,4.61,10.07,seed_derived,pseudo_formula,1
offer-EDU-005-STD-4,train,educational-academic-tools,0.520,27.00,22.00,5.00,2970.000,MY,BULK,280,8,4.63,8.93,seed_derived,pseudo_formula,1
offer-EDU-006-STD-1,validation,educational-academic-tools,0.320,22.00,16.00,2.00,704.000,IN,LOCAL,120,1,4.57,4.80,seed_derived,pseudo_formula,1
offer-EDU-006-STD-2,validation,educational-academic-tools,0.320,22.00,16.00,2.00,704.000,IN,BULK,400,10,4.57,4.32,seed_derived,pseudo_formula,1
offer-EDU-006-STD-3,validation,educational-academic-tools,0.320,22.00,16.00,2.00,704.000,CN,LOCAL,90,1,4.61,5.09,seed_derived,pseudo_formula,1
offer-EDU-006-STD-4,validation,educational-academic-tools,0.320,22.00,16.00,2.00,704.000,MY,BULK,280,8,4.63,4.51,seed_derived,pseudo_formula,1
offer-EDU-007-STD-1,train,educational-academic-tools,0.140,20.00,11.00,4.00,880.000,IN,LOCAL,120,1,4.57,5.00,seed_derived,pseudo_formula,1
offer-EDU-007-STD-2,train,educational-academic-tools,0.140,20.00,11.00,4.00,880.000,IN,BULK,400,10,4.57,4.50,seed_derived,pseudo_formula,1
offer-EDU-007-STD-3,train,educational-academic-tools,0.140,20.00,11.00,4.00,880.000,CN,LOCAL,90,1,4.61,5.30,seed_derived,pseudo_formula,1
offer-EDU-007-STD-4,train,educational-academic-tools,0.140,20.00,11.00,4.00,880.000,MY,BULK,280,8,4.63,4.70,seed_derived,pseudo_formula,1
offer-EDU-008-STD-1,train,educational-academic-tools,0.160,10.00,8.00,4.00,320.000,IN,LOCAL,120,1,4.57,7.20,seed_derived,pseudo_formula,1
offer-EDU-008-STD-2,train,educational-academic-tools,0.160,10.00,8.00,4.00,320.000,IN,BULK,400,10,4.57,6.48,seed_derived,pseudo_formula,1
offer-EDU-008-STD-3,train,educational-academic-tools,0.160,10.00,8.00,4.00,320.000,CN,LOCAL,90,1,4.61,7.63,seed_derived,pseudo_formula,1
offer-EDU-008-STD-4,train,educational-academic-tools,0.160,10.00,8.00,4.00,320.000,MY,BULK,280,8,4.63,6.77,seed_derived,pseudo_formula,1
offer-EDU-009-STD-1,train,educational-academic-tools,0.090,24.00,4.00,3.00,288.000,IN,LOCAL,120,1,4.57,3.10,seed_derived,pseudo_formula,1
offer-EDU-009-STD-2,train,educational-academic-tools,0.090,24.00,4.00,3.00,288.000,IN,BULK,400,10,4.57,2.79,seed_derived,pseudo_formula,1
offer-EDU-009-STD-3,train,educational-academic-tools,0.090,24.00,4.00,3.00,288.000,CN,LOCAL,90,1,4.61,3.29,seed_derived,pseudo_formula,1
offer-EDU-009-STD-4,train,educational-academic-tools,0.090,24.00,4.00,3.00,288.000,MY,BULK,280,8,4.63,2.91,seed_derived,pseudo_formula,1
offer-EDU-010-STD-1,train,educational-academic-tools,0.720,30.00,24.00,5.00,3600.000,IN,LOCAL,120,1,4.57,11.00,seed_derived,pseudo_formula,1
offer-EDU-010-STD-2,train,educational-academic-tools,0.720,30.00,24.00,5.00,3600.000,IN,BULK,400,10,4.57,9.90,seed_derived,pseudo_formula,1
offer-EDU-010-STD-3,train,educational-academic-tools,0.720,30.00,24.00,5.00,3600.000,CN,LOCAL,90,1,4.61,11.66,seed_derived,pseudo_formula,1
offer-EDU-010-STD-4,train,educational-academic-tools,0.720,30.00,24.00,5.00,3600.000,MY,BULK,280,8,4.63,10.34,seed_derived,pseudo_formula,1
offer-EDU-011-STD-1,test,educational-academic-tools,0.850,25.00,18.00,12.00,5400.000,IN,LOCAL,120,1,4.57,28.00,seed_derived,pseudo_formula,1
offer-EDU-011-STD-2,test,educational-academic-tools,0.850,25.00,18.00,12.00,5400.000,IN,BULK,400,10,4.57,25.20,seed_derived,pseudo_formula,1
offer-EDU-011-STD-3,test,educational-academic-tools,0.850,25.00,18.00,12.00,5400.000,CN,LOCAL,90,1,4.61,29.68,seed_derived,pseudo_formula,1
offer-EDU-011-STD-4,test,educational-academic-tools,0.850,25.00,18.00,12.00,5400.000,MY,BULK,280,8,4.63,26.32,seed_derived,pseudo_formula,1
offer-EDU-012-STD-1,test,educational-academic-tools,0.600,24.00,18.00,8.00,3456.000,IN,LOCAL,120,1,4.57,14.00,seed_derived,pseudo_formula,1
offer-EDU-012-STD-2,test,educational-academic-tools,0.600,24.00,18.00,8.00,3456.000,IN,BULK,400,10,4.57,12.60,seed_derived,pseudo_formula,1
offer-EDU-012-STD-3,test,educational-academic-tools,0.600,24.00,18.00,8.00,3456.000,CN,LOCAL,90,1,4.61,14.84,seed_derived,pseudo_formula,1
offer-EDU-012-STD-4,test,educational-academic-tools,0.600,24.00,18.00,8.00,3456.000,MY,BULK,280,8,4.63,13.16,seed_derived,pseudo_formula,1
offer-CRT-001-STD-1,test,creator-content-tools,1.200,42.00,16.00,10.00,6720.000,MY,LOCAL,120,1,4.63,21.00,seed_derived,pseudo_formula,1
offer-CRT-001-STD-2,test,creator-content-tools,1.200,42.00,16.00,10.00,6720.000,MY,BULK,400,10,4.63,18.90,seed_derived,pseudo_formula,1
offer-CRT-001-STD-3,test,creator-content-tools,1.200,42.00,16.00,10.00,6720.000,CN,LOCAL,90,1,4.61,22.26,seed_derived,pseudo_formula,1
offer-CRT-001-STD-4,test,creator-content-tools,1.200,42.00,16.00,10.00,6720.000,SG,BULK,280,8,4.69,19.74,seed_derived,pseudo_formula,1
offer-CRT-002-STD-1,train,creator-content-tools,0.520,28.00,9.00,8.00,2016.000,MY,LOCAL,120,1,4.63,14.00,seed_derived,pseudo_formula,1
offer-CRT-002-STD-2,train,creator-content-tools,0.520,28.00,9.00,8.00,2016.000,MY,BULK,400,10,4.63,12.60,seed_derived,pseudo_formula,1
offer-CRT-002-STD-3,train,creator-content-tools,0.520,28.00,9.00,8.00,2016.000,CN,LOCAL,90,1,4.61,14.84,seed_derived,pseudo_formula,1
offer-CRT-002-STD-4,train,creator-content-tools,0.520,28.00,9.00,8.00,2016.000,SG,BULK,280,8,4.69,13.16,seed_derived,pseudo_formula,1
offer-CRT-003-STD-1,train,creator-content-tools,0.480,24.00,16.00,6.00,2304.000,MY,LOCAL,120,1,4.63,18.00,seed_derived,pseudo_formula,1
offer-CRT-003-STD-2,train,creator-content-tools,0.480,24.00,16.00,6.00,2304.000,MY,BULK,400,10,4.63,16.20,seed_derived,pseudo_formula,1
offer-CRT-003-STD-3,train,creator-content-tools,0.480,24.00,16.00,6.00,2304.000,CN,LOCAL,90,1,4.61,19.08,seed_derived,pseudo_formula,1
offer-CRT-003-STD-4,train,creator-content-tools,0.480,24.00,16.00,6.00,2304.000,SG,BULK,280,8,4.69,16.92,seed_derived,pseudo_formula,1
offer-CRT-004-STD-1,train,creator-content-tools,0.420,38.00,38.00,4.00,5776.000,MY,LOCAL,120,1,4.63,13.00,seed_derived,pseudo_formula,1
offer-CRT-004-STD-2,train,creator-content-tools,0.420,38.00,38.00,4.00,5776.000,MY,BULK,400,10,4.63,11.70,seed_derived,pseudo_formula,1
offer-CRT-004-STD-3,train,creator-content-tools,0.420,38.00,38.00,4.00,5776.000,CN,LOCAL,90,1,4.61,13.78,seed_derived,pseudo_formula,1
offer-CRT-004-STD-4,train,creator-content-tools,0.420,38.00,38.00,4.00,5776.000,SG,BULK,280,8,4.69,12.22,seed_derived,pseudo_formula,1
offer-CRT-005-STD-1,test,creator-content-tools,2.800,86.00,18.00,16.00,24768.000,MY,LOCAL,120,1,4.63,42.00,seed_derived,pseudo_formula,1
offer-CRT-005-STD-2,test,creator-content-tools,2.800,86.00,18.00,16.00,24768.000,MY,BULK,400,10,4.63,37.80,seed_derived,pseudo_formula,1
offer-CRT-005-STD-3,test,creator-content-tools,2.800,86.00,18.00,16.00,24768.000,CN,LOCAL,90,1,4.61,44.52,seed_derived,pseudo_formula,1
offer-CRT-005-STD-4,test,creator-content-tools,2.800,86.00,18.00,16.00,24768.000,SG,BULK,280,8,4.69,39.48,seed_derived,pseudo_formula,1
offer-CRT-006-STD-1,test,creator-content-tools,0.850,38.00,28.00,8.00,8512.000,MY,LOCAL,120,1,4.63,19.00,seed_derived,pseudo_formula,1
offer-CRT-006-STD-2,test,creator-content-tools,0.850,38.00,28.00,8.00,8512.000,MY,BULK,400,10,4.63,17.10,seed_derived,pseudo_formula,1
offer-CRT-006-STD-3,test,creator-content-tools,0.850,38.00,28.00,8.00,8512.000,CN,LOCAL,90,1,4.61,20.14,seed_derived,pseudo_formula,1
offer-CRT-006-STD-4,test,creator-content-tools,0.850,38.00,28.00,8.00,8512.000,SG,BULK,280,8,4.69,17.86,seed_derived,pseudo_formula,1
offer-CRT-007-STD-1,train,creator-content-tools,0.060,8.00,6.00,3.00,144.000,MY,LOCAL,120,1,4.63,5.50,seed_derived,pseudo_formula,1
