source_revision,product_id,product_slug,category_slug,country_code,feature_source,is_synthetic
20260730_04,16,skincare-sku9,skincare,IN,seed_derived,1
20260730_04,16,skincare-sku9,skincare,SG,seed_derived,1
20260730_04,16,skincare-sku9,skincare,TH,seed_derived,1
20260730_04,17,skincare-sku10,skincare,CN,seed_derived,1
20260730_04,17,skincare-sku10,skincare,IN,seed_derived,1
20260730_04,17,skincare-sku10,skincare,SG,seed_derived,1
20260730_04,17,skincare-sku10,skincare,TH,seed_derived,1
20260730_04,18,skincare-sku11,skincare,CN,seed_derived,1
20260730_04,18,skincare-sku11,skincare,IN,seed_derived,1
20260730_04,18,skincare-sku11,skincare,SG,seed_derived,1
20260730_04,18,skincare-sku11,skincare,TH,seed_derived,1
20260730_04,19,haircare-sku12,haircare,CN,seed_derived,1
20260730_04,19,haircare-sku12,haircare,IN,seed_derived,1
20260730_04,19,haircare-sku12,haircare,SG,seed_derived,1
20260730_04,19,haircare-sku12,haircare,TH,seed_derived,1
20260730_04,20,skincare-sku13,skincare,CN,seed_derived,1
20260730_04,20,skincare-sku13,skincare,IN,seed_derived,1
20260730_04,20,skincare-sku13,skincare,SG,seed_derived,1
20260730_04,20,skincare-sku13,skincare,TH,seed_derived,1
20260730_04,21,skincare-sku14,skincare,CN,seed_derived,1
20260730_04,21,skincare-sku14,skincare,IN,seed_derived,1
20260730_04,21,skincare-sku14,skincare,SG,seed_derived,1
20260730_04,21,skincare-sku14,skincare,TH,seed_derived,1
20260730_04,22,skincare-sku15,skincare,CN,seed_derived,1
20260730_04,22,skincare-sku15,skincare,IN,seed_derived,1
20260730_04,22,skincare-sku15,skincare,SG,seed_derived,1
20260730_04,22,skincare-sku15,skincare,TH,seed_derived,1
20260730_04,23,skincare-sku16,skincare,CN,seed_derived,1
20260730_04,23,skincare-sku16,skincare,IN,seed_derived,1
20260730_04,23,skincare-sku16,skincare,SG,seed_derived,1
20260730_04,23,skincare-sku16,skincare,TH,seed_derived,1
20260730_04,24,cosmetics-sku17,cosmetics,CN,seed_derived,1
20260730_04,24,cosmetics-sku17,cosmetics,IN,seed_derived,1
20260730_04,24,cosmetics-sku17,cosmetics,SG,seed_derived,1
20260730_04,24,cosmetics-sku17,cosmetics,TH,seed_derived,1
20260730_04,25,haircare-sku18,haircare,CN,seed_derived,1
20260730_04,25,haircare-sku18,haircare,IN,seed_derived,1
20260730_04,25,haircare-sku18,haircare,SG,seed_derived,1
20260730_04,25,haircare-sku18,haircare,TH,seed_derived,1
20260730_04,26,skincare-sku19,skincare,CN,seed_derived,1
20260730_04,26,skincare-sku19,skincare,IN,seed_derived,1
20260730_04,26,skincare-sku19,skincare,SG,seed_derived,1
20260730_04,26,skincare-sku19,skincare,TH,seed_derived,1
20260730_04,27,skincare-sku20,skincare,CN,seed_derived,1
20260730_04,27,skincare-sku20,skincare,IN,seed_derived,1
20260730_04,27,skincare-sku20,skincare,SG,seed_derived,1
20260730_04,27,skincare-sku20,skincare,TH,seed_derived,1
20260730_04,28,cosmetics-sku21,cosmetics,CN,seed_derived,1
20260730_04,28,cosmetics-sku21,cosmetics,IN,seed_derived,1
20260730_04,28,cosmetics-sku21,cosmetics,SG,seed_derived,1
20260730_04,28,cosmetics-sku21,cosmetics,TH,seed_derived,1
20260730_04,29,haircare-sku22,haircare,CN,seed_derived,1
20260730_04,29,haircare-sku22,haircare,IN,seed_derived,1
20260730_04,29,haircare-sku22,haircare,SG,seed_derived,1
20260730_04,29,haircare-sku22,haircare,TH,seed_derived,1
20260730_04,30,cosmetics-sku23,cosmetics,CN,seed_derived,1
20260730_04,30,cosmetics-sku23,cosmetics,IN,seed_derived,1
20260730_04,30,cosmetics-sku23,cosmetics,SG,seed_derived,1
20260730_04,30,cosmetics-sku23,cosmetics,TH,seed_derived,1
20260730_04,31,haircare-sku24,haircare,CN,seed_derived,1
20260730_04,31,haircare-sku24,haircare,IN,seed_derived,1
20260730_04,31,haircare-sku24,haircare,SG,seed_derived,1
20260730_04,31,haircare-sku24,haircare,TH,seed_derived,1
20260730_04,32,haircare-sku25,haircare,CN,seed_derived,1
20260730_04,32,haircare-sku25,haircare,IN,seed_derived,1
20260730_04,32,haircare-sku25,haircare,SG,seed_derived,1
20260730_04,32,haircare-sku25,haircare,TH,seed_derived,1
20260730_04,33,haircare-sku26,haircare,CN,seed_derived,1
20260730_04,33,haircare-sku26,haircare,IN,seed_derived,1
20260730_04,33,haircare-sku26,haircare,SG,seed_derived,1
20260730_04,33,haircare-sku26,haircare,TH,seed_derived,1
20260730_04,34,cosmetics-sku27,cosmetics,CN,seed_derived,1
20260730_04,34,cosmetics-sku27,cosmetics,IN,seed_derived,1
20260730_04,34,cosmetics-sku27,cosmetics,SG,seed_derived,1
20260730_04,34,cosmetics-sku27,cosmetics,TH,seed_derived,1
20260730_04,35,cosmetics-sku28,cosmetics,CN,seed_derived,1
20260730_04,35,cosmetics-sku28,cosmetics,IN,seed_derived,1
20260730_04,35,cosmetics-sku28,cosmetics,SG,seed_derived,1
20260730_04,35,cosmetics-sku28,cosmetics,TH,seed_derived,1
20260730_04,36,cosmetics-sku29,cosmetics,CN,seed_derived,1
20260730_04,36,cosmetics-sku29,cosmetics,IN,seed_derived,1
20260730_04,36,cosmetics-sku29,cosmetics,SG,seed_derived,1
20260730_04,36,cosmetics-sku29,cosmetics,TH,seed_derived,1
20260730_04,37,haircare-sku30,haircare,CN,seed_derived,1
20260730_04,37,haircare-sku30,haircare,IN,seed_derived,1
20260730_04,37,haircare-sku30,haircare,SG,seed_derived,1
20260730_04,37,haircare-sku30,haircare,TH,seed_derived,1
20260730_04,38,skincare-sku31,skincare,CN,seed_derived,1
20260730_04,38,skincare-sku31,skincare,IN,seed_derived,1
20260730_04,38,skincare-sku31,skincare,SG,seed_derived,1
20260730_04,38,skincare-sku31,skincare,TH,seed_derived,1
20260730_04,39,skincare-sku32,skincare,CN,seed_derived,1
20260730_04,39,skincare-sku32,skincare,IN,seed_derived,1
20260730_04,39,skincare-sku32,skincare,SG,seed_derived,1
20260730_04,39,skincare-sku32,skincare,TH,seed_derived,1
20260730_04,40,cosmetics-sku33,cosmetics,CN,seed_derived,1
20260730_04,40,cosmetics-sku33,cosmetics,IN,seed_derived,1
20260730_04,40,cosmetics-sku33,cosmetics,SG,seed_derived,1
20260730_04,40,cosmetics-sku33,cosmetics,TH,seed_derived,1
20260730_04,41,skincare-sku34,skincare,CN,seed_derived,1
20260730_04,41,skincare-sku34,skincare,IN,seed_derived,1
20260730_04,41,skincare-sku34,skincare,SG,seed_derived,1
20260730_04,41,skincare-sku34,skincare,TH,seed_derived,1
20260730_04,42,cosmetics-sku35,cosmetics,CN,seed_derived,1
20260730_04,42,cosmetics-sku35,cosmetics,IN,seed_derived,1
20260730_04,42,cosmetics-sku35,cosmetics,SG,seed_derived,1
20260730_04,42,cosmetics-sku35,cosmetics,TH,seed_derived,1
20260730_04,43,skincare-sku36,skincare,CN,seed_derived,1
20260730_04,43,skincare-sku36,skincare,IN,seed_derived,1
20260730_04,43,skincare-sku36,skincare,SG,seed_derived,1
20260730_04,43,skincare-sku36,skincare,TH,seed_derived,1
20260730_04,44,skincare-sku37,skincare,CN,seed_derived,1
20260730_04,44,skincare-sku37,skincare,IN,seed_derived,1
20260730_04,44,skincare-sku37,skincare,SG,seed_derived,1
20260730_04,44,skincare-sku37,skincare,TH,seed_derived,1
20260730_04,45,cosmetics-sku38,cosmetics,CN,seed_derived,1
20260730_04,45,cosmetics-sku38,cosmetics,IN,seed_derived,1
20260730_04,45,cosmetics-sku38,cosmetics,SG,seed_derived,1
20260730_04,45,cosmetics-sku38,cosmetics,TH,seed_derived,1
20260730_04,46,skincare-sku39,skincare,CN,seed_derived,1
20260730_04,46,skincare-sku39,skincare,IN,seed_derived,1
20260730_04,46,skincare-sku39,skincare,SG,seed_derived,1
20260730_04,46,skincare-sku39,skincare,TH,seed_derived,1
20260730_04,47,skincare-sku40,skincare,CN,seed_derived,1
20260730_04,47,skincare-sku40,skincare,IN,seed_derived,1
20260730_04,47,skincare-sku40,skincare,SG,seed_derived,1
20260730_04,47,skincare-sku40,skincare,TH,seed_derived,1
20260730_04,48,skincare-sku41,skincare,CN,seed_derived,1
20260730_04,48,skincare-sku41,skincare,IN,seed_derived,1
20260730_04,48,skincare-sku41,skincare,SG,seed_derived,1
20260730_04,48,skincare-sku41,skincare,TH,seed_derived,1
20260730_04,49,skincare-sku42,skincare,CN,seed_derived,1
20260730_04,49,skincare-sku42,skincare,IN,seed_derived,1
20260730_04,49,skincare-sku42,skincare,SG,seed_derived,1
20260730_04,49,skincare-sku42,skincare,TH,seed_derived,1
20260730_04,50,haircare-sku43,haircare,CN,seed_derived,1
20260730_04,50,haircare-sku43,haircare,IN,seed_derived,1
20260730_04,50,haircare-sku43,haircare,SG,seed_derived,1
20260730_04,50,haircare-sku43,haircare,TH,seed_derived,1
20260730_04,51,cosmetics-sku44,cosmetics,CN,seed_derived,1
20260730_04,51,cosmetics-sku44,cosmetics,IN,seed_derived,1
20260730_04,51,cosmetics-sku44,cosmetics,SG,seed_derived,1
20260730_04,51,cosmetics-sku44,cosmetics,TH,seed_derived,1
20260730_04,52,haircare-sku45,haircare,CN,seed_derived,1
20260730_04,52,haircare-sku45,haircare,IN,seed_derived,1
20260730_04,52,haircare-sku45,haircare,SG,seed_derived,1
20260730_04,52,haircare-sku45,haircare,TH,seed_derived,1
20260730_04,53,haircare-sku46,haircare,CN,seed_derived,1
20260730_04,53,haircare-sku46,haircare,IN,seed_derived,1
20260730_04,53,haircare-sku46,haircare,SG,seed_derived,1
20260730_04,53,haircare-sku46,haircare,TH,seed_derived,1
20260730_04,54,skincare-sku47,skincare,CN,seed_derived,1
20260730_04,54,skincare-sku47,skincare,IN,seed_derived,1
20260730_04,54,skincare-sku47,skincare,SG,seed_derived,1
20260730_04,54,skincare-sku47,skincare,TH,seed_derived,1
20260730_04,55,haircare-sku48,haircare,CN,seed_derived,1
20260730_04,55,haircare-sku48,haircare,IN,seed_derived,1
20260730_04,55,haircare-sku48,haircare,SG,seed_derived,1
20260730_04,55,haircare-sku48,haircare,TH,seed_derived,1
20260730_04,56,cosmetics-sku49,cosmetics,CN,seed_derived,1
20260730_04,56,cosmetics-sku49,cosmetics,IN,seed_derived,1
20260730_04,56,cosmetics-sku49,cosmetics,SG,seed_derived,1
20260730_04,56,cosmetics-sku49,cosmetics,TH,seed_derived,1
20260730_04,57,cosmetics-sku50,cosmetics,CN,seed_derived,1
20260730_04,57,cosmetics-sku50,cosmetics,IN,seed_derived,1
20260730_04,57,cosmetics-sku50,cosmetics,SG,seed_derived,1
20260730_04,57,cosmetics-sku50,cosmetics,TH,seed_derived,1
20260730_04,58,haircare-sku51,haircare,CN,seed_derived,1
20260730_04,58,haircare-sku51,haircare,IN,seed_derived,1
20260730_04,58,haircare-sku51,haircare,SG,seed_derived,1
20260730_04,58,haircare-sku51,haircare,TH,seed_derived,1
20260730_04,59,skincare-sku52,skincare,CN,seed_derived,1
20260730_04,59,skincare-sku52,skincare,IN,seed_derived,1
20260730_04,59,skincare-sku52,skincare,SG,seed_derived,1
20260730_04,59,skincare-sku52,skincare,TH,seed_derived,1
20260730_04,60,skincare-sku53,skincare,CN,seed_derived,1
20260730_04,60,skincare-sku53,skincare,IN,seed_derived,1
20260730_04,60,skincare-sku53,skincare,SG,seed_derived,1
20260730_04,60,skincare-sku53,skincare,TH,seed_derived,1
20260730_04,61,haircare-sku54,haircare,CN,seed_derived,1
20260730_04,61,haircare-sku54,haircare,IN,seed_derived,1
20260730_04,61,haircare-sku54,haircare,SG,seed_derived,1
20260730_04,61,haircare-sku54,haircare,TH,seed_derived,1
20260730_04,62,haircare-sku55,haircare,CN,seed_derived,1
20260730_04,62,haircare-sku55,haircare,IN,seed_derived,1
20260730_04,62,haircare-sku55,haircare,SG,seed_derived,1
20260730_04,62,haircare-sku55,haircare,TH,seed_derived,1
20260730_04,63,skincare-sku56,skincare,CN,seed_derived,1
20260730_04,63,skincare-sku56,skincare,IN,seed_derived,1
20260730_04,63,skincare-sku56,skincare,SG,seed_derived,1
20260730_04,63,skincare-sku56,skincare,TH,seed_derived,1
20260730_04,64,haircare-sku57,haircare,CN,seed_derived,1
20260730_04,64,haircare-sku57,haircare,IN,seed_derived,1
20260730_04,64,haircare-sku57,haircare,SG,seed_derived,1
20260730_04,64,haircare-sku57,haircare,TH,seed_derived,1
20260730_04,65,skincare-sku58,skincare,CN,seed_derived,1
20260730_04,65,skincare-sku58,skincare,IN,seed_derived,1
20260730_04,65,skincare-sku58,skincare,SG,seed_derived,1
20260730_04,65,skincare-sku58,skincare,TH,seed_derived,1
20260730_04,66,cosmetics-sku59,cosmetics,CN,seed_derived,1
20260730_04,66,cosmetics-sku59,cosmetics,IN,seed_derived,1
20260730_04,66,cosmetics-sku59,cosmetics,SG,seed_derived,1
20260730_04,66,cosmetics-sku59,cosmetics,TH,seed_derived,1
20260730_04,67,skincare-sku60,skincare,CN,seed_derived,1
20260730_04,67,skincare-sku60,skincare,IN,seed_derived,1
20260730_04,67,skincare-sku60,skincare,SG,seed_derived,1
20260730_04,67,skincare-sku60,skincare,TH,seed_derived,1
20260730_04,68,haircare-sku61,haircare,CN,seed_derived,1
20260730_04,68,haircare-sku61,haircare,IN,seed_derived,1
20260730_04,68,haircare-sku61,haircare,SG,seed_derived,1
20260730_04,68,haircare-sku61,haircare,TH,seed_derived,1
20260730_04,69,cosmetics-sku62,cosmetics,CN,seed_derived,1
20260730_04,69,cosmetics-sku62,cosmetics,IN,seed_derived,1
20260730_04,69,cosmetics-sku62,cosmetics,SG,seed_derived,1
20260730_04,69,cosmetics-sku62,cosmetics,TH,seed_derived,1
20260730_04,70,skincare-sku63,skincare,CN,seed_derived,1
20260730_04,70,skincare-sku63,skincare,IN,seed_derived,1
20260730_04,70,skincare-sku63,skincare,SG,seed_derived,1
20260730_04,70,skincare-sku63,skincare,TH,seed_derived,1
20260730_04,71,skincare-sku64,skincare,CN,seed_derived,1
20260730_04,71,skincare-sku64,skincare,IN,seed_derived,1
20260730_04,71,skincare-sku64,skincare,SG,seed_derived,1
20260730_04,71,skincare-sku64,skincare,TH,seed_derived,1
20260730_04,72,skincare-sku65,skincare,CN,seed_derived,1
20260730_04,72,skincare-sku65,skincare,IN,seed_derived,1
20260730_04,72,skincare-sku65,skincare,SG,seed_derived,1
20260730_04,72,skincare-sku65,skincare,TH,seed_derived,1
20260730_04,73,skincare-sku66,skincare,CN,seed_derived,1
20260730_04,73,skincare-sku66,skincare,IN,seed_derived,1
20260730_04,73,skincare-sku66,skincare,SG,seed_derived,1
20260730_04,73,skincare-sku66,skincare,TH,seed_derived,1
20260730_04,74,skincare-sku67,skincare,CN,seed_derived,1
20260730_04,74,skincare-sku67,skincare,IN,seed_derived,1
20260730_04,74,skincare-sku67,skincare,SG,seed_derived,1
20260730_04,74,skincare-sku67,skincare,TH,seed_derived,1
20260730_04,75,haircare-sku68,haircare,CN,seed_derived,1
20260730_04,75,haircare-sku68,haircare,IN,seed_derived,1
20260730_04,75,haircare-sku68,haircare,SG,seed_derived,1
20260730_04,75,haircare-sku68,haircare,TH,seed_derived,1
20260730_04,76,skincare-sku69,skincare,CN,seed_derived,1
20260730_04,76,skincare-sku69,skincare,IN,seed_derived,1
20260730_04,76,skincare-sku69,skincare,SG,seed_derived,1
20260730_04,76,skincare-sku69,skincare,TH,seed_derived,1
20260730_04,77,haircare-sku70,haircare,CN,seed_derived,1
20260730_04,77,haircare-sku70,haircare,IN,seed_derived,1
20260730_04,77,haircare-sku70,haircare,SG,seed_derived,1
20260730_04,77,haircare-sku70,haircare,TH,seed_derived,1
20260730_04,78,cosmetics-sku71,cosmetics,CN,seed_derived,1
20260730_04,78,cosmetics-sku71,cosmetics,IN,seed_derived,1
20260730_04,78,cosmetics-sku71,cosmetics,SG,seed_derived,1
20260730_04,78,cosmetics-sku71,cosmetics,TH,seed_derived,1
20260730_04,79,cosmetics-sku72,cosmetics,CN,seed_derived,1
20260730_04,79,cosmetics-sku72,cosmetics,IN,seed_derived,1
20260730_04,79,cosmetics-sku72,cosmetics,SG,seed_derived,1
20260730_04,79,cosmetics-sku72,cosmetics,TH,seed_derived,1
20260730_04,80,cosmetics-sku73,cosmetics,CN,seed_derived,1
20260730_04,80,cosmetics-sku73,cosmetics,IN,seed_derived,1
20260730_04,80,cosmetics-sku73,cosmetics,SG,seed_derived,1
20260730_04,80,cosmetics-sku73,cosmetics,TH,seed_derived,1
20260730_04,81,haircare-sku74,haircare,CN,seed_derived,1
20260730_04,81,haircare-sku74,haircare,IN,seed_derived,1
20260730_04,81,haircare-sku74,haircare,SG,seed_derived,1
20260730_04,81,haircare-sku74,haircare,TH,seed_derived,1
20260730_04,82,skincare-sku75,skincare,CN,seed_derived,1
20260730_04,82,skincare-sku75,skincare,IN,seed_derived,1
20260730_04,82,skincare-sku75,skincare,SG,seed_derived,1
20260730_04,82,skincare-sku75,skincare,TH,seed_derived,1
20260730_04,83,haircare-sku76,haircare,CN,seed_derived,1
20260730_04,83,haircare-sku76,haircare,IN,seed_derived,1
20260730_04,83,haircare-sku76,haircare,SG,seed_derived,1
20260730_04,83,haircare-sku76,haircare,TH,seed_derived,1
20260730_04,84,haircare-sku77,haircare,CN,seed_derived,1
20260730_04,84,haircare-sku77,haircare,IN,seed_derived,1
20260730_04,84,haircare-sku77,haircare,SG,seed_derived,1
20260730_04,84,haircare-sku77,haircare,TH,seed_derived,1
20260730_04,85,haircare-sku78,haircare,CN,seed_derived,1
20260730_04,85,haircare-sku78,haircare,IN,seed_derived,1
20260730_04,85,haircare-sku78,haircare,SG,seed_derived,1
20260730_04,85,haircare-sku78,haircare,TH,seed_derived,1
20260730_04,86,haircare-sku79,haircare,CN,seed_derived,1
20260730_04,86,haircare-sku79,haircare,IN,seed_derived,1
20260730_04,86,haircare-sku79,haircare,SG,seed_derived,1
20260730_04,86,haircare-sku79,haircare,TH,seed_derived,1
20260730_04,87,skincare-sku80,skincare,CN,seed_derived,1
20260730_04,87,skincare-sku80,skincare,IN,seed_derived,1
20260730_04,87,skincare-sku80,skincare,SG,seed_derived,1
20260730_04,87,skincare-sku80,skincare,TH,seed_derived,1
20260730_04,88,haircare-sku81,haircare,CN,seed_derived,1
20260730_04,88,haircare-sku81,haircare,IN,seed_derived,1
20260730_04,88,haircare-sku81,haircare,SG,seed_derived,1
20260730_04,88,haircare-sku81,haircare,TH,seed_derived,1
20260730_04,89,skincare-sku82,skincare,CN,seed_derived,1
20260730_04,89,skincare-sku82,skincare,IN,seed_derived,1
20260730_04,89,skincare-sku82,skincare,SG,seed_derived,1
20260730_04,89,skincare-sku82,skincare,TH,seed_derived,1
20260730_04,90,haircare-sku83,haircare,CN,seed_derived,1
20260730_04,90,haircare-sku83,haircare,IN,seed_derived,1
20260730_04,90,haircare-sku83,haircare,SG,seed_derived,1
20260730_04,90,haircare-sku83,haircare,TH,seed_derived,1
20260730_04,91,haircare-sku84,haircare,CN,seed_derived,1
20260730_04,91,haircare-sku84,haircare,IN,seed_derived,1
20260730_04,91,haircare-sku84,haircare,SG,seed_derived,1
20260730_04,91,haircare-sku84,haircare,TH,seed_derived,1
20260730_04,92,cosmetics-sku85,cosmetics,CN,seed_derived,1
20260730_04,92,cosmetics-sku85,cosmetics,IN,seed_derived,1
20260730_04,92,cosmetics-sku85,cosmetics,SG,seed_derived,1
20260730_04,92,cosmetics-sku85,cosmetics,TH,seed_derived,1
20260730_04,93,skincare-sku86,skincare,CN,seed_derived,1
20260730_04,93,skincare-sku86,skincare,IN,seed_derived,1
20260730_04,93,skincare-sku86,skincare,SG,seed_derived,1
20260730_04,93,skincare-sku86,skincare,TH,seed_derived,1
20260730_04,94,haircare-sku87,haircare,CN,seed_derived,1
20260730_04,94,haircare-sku87,haircare,IN,seed_derived,1
20260730_04,94,haircare-sku87,haircare,SG,seed_derived,1
20260730_04,94,haircare-sku87,haircare,TH,seed_derived,1
20260730_04,95,cosmetics-sku88,cosmetics,CN,seed_derived,1
20260730_04,95,cosmetics-sku88,cosmetics,IN,seed_derived,1
20260730_04,95,cosmetics-sku88,cosmetics,SG,seed_derived,1
20260730_04,95,cosmetics-sku88,cosmetics,TH,seed_derived,1
20260730_04,96,cosmetics-sku89,cosmetics,CN,seed_derived,1
20260730_04,96,cosmetics-sku89,cosmetics,IN,seed_derived,1
20260730_04,96,cosmetics-sku89,cosmetics,SG,seed_derived,1
20260730_04,96,cosmetics-sku89,cosmetics,TH,seed_derived,1
20260730_04,97,skincare-sku90,skincare,CN,seed_derived,1
20260730_04,97,skincare-sku90,skincare,IN,seed_derived,1
20260730_04,97,skincare-sku90,skincare,SG,seed_derived,1
20260730_04,97,skincare-sku90,skincare,TH,seed_derived,1
20260730_04,98,cosmetics-sku91,cosmetics,CN,seed_derived,1
20260730_04,98,cosmetics-sku91,cosmetics,IN,seed_derived,1
20260730_04,98,cosmetics-sku91,cosmetics,SG,seed_derived,1
20260730_04,98,cosmetics-sku91,cosmetics,TH,seed_derived,1
20260730_04,99,cosmetics-sku92,cosmetics,CN,seed_derived,1
20260730_04,99,cosmetics-sku92,cosmetics,IN,seed_derived,1
20260730_04,99,cosmetics-sku92,cosmetics,SG,seed_derived,1
20260730_04,99,cosmetics-sku92,cosmetics,TH,seed_derived,1
20260730_04,100,haircare-sku93,haircare,CN,seed_derived,1
20260730_04,100,haircare-sku93,haircare,IN,seed_derived,1
20260730_04,100,haircare-sku93,haircare,SG,seed_derived,1
20260730_04,100,haircare-sku93,haircare,TH,seed_derived,1
20260730_04,101,cosmetics-sku94,cosmetics,CN,seed_derived,1
20260730_04,101,cosmetics-sku94,cosmetics,IN,seed_derived,1
20260730_04,101,cosmetics-sku94,cosmetics,SG,seed_derived,1
20260730_04,101,cosmetics-sku94,cosmetics,TH,seed_derived,1
20260730_04,102,haircare-sku95,haircare,CN,seed_derived,1
20260730_04,102,haircare-sku95,haircare,IN,seed_derived,1
20260730_04,102,haircare-sku95,haircare,SG,seed_derived,1
20260730_04,102,haircare-sku95,haircare,TH,seed_derived,1
20260730_04,103,cosmetics-sku96,cosmetics,CN,seed_derived,1
20260730_04,103,cosmetics-sku96,cosmetics,IN,seed_derived,1
20260730_04,103,cosmetics-sku96,cosmetics,SG,seed_derived,1
20260730_04,103,cosmetics-sku96,cosmetics,TH,seed_derived,1
20260730_04,104,haircare-sku97,haircare,CN,seed_derived,1
20260730_04,104,haircare-sku97,haircare,IN,seed_derived,1
20260730_04,104,haircare-sku97,haircare,SG,seed_derived,1
20260730_04,104,haircare-sku97,haircare,TH,seed_derived,1
20260730_04,105,skincare-sku98,skincare,CN,seed_derived,1
20260730_04,105,skincare-sku98,skincare,IN,seed_derived,1
20260730_04,105,skincare-sku98,skincare,SG,seed_derived,1
20260730_04,105,skincare-sku98,skincare,TH,seed_derived,1
20260730_04,106,haircare-sku99,haircare,CN,seed_derived,1
20260730_04,106,haircare-sku99,haircare,IN,seed_derived,1
20260730_04,106,haircare-sku99,haircare,SG,seed_derived,1
20260730_04,106,haircare-sku99,haircare,TH,seed_derived,1
20260730_04,107,samsung-galaxy-s24-ultra,phones,CN,seed_derived,1
20260730_04,107,samsung-galaxy-s24-ultra,phones,SG,seed_derived,1
20260730_04,107,samsung-galaxy-s24-ultra,phones,TH,seed_derived,1
20260730_04,108,samsung-galaxy-a55,phones,CN,seed_derived,1
20260730_04,108,samsung-galaxy-a55,phones,SG,seed_derived,1
20260730_04,108,samsung-galaxy-a55,phones,TH,seed_derived,1
20260730_04,109,samsung-galaxy-m14,phones,CN,seed_derived,1
20260730_04,109,samsung-galaxy-m14,phones,SG,seed_derived,1
20260730_04,109,samsung-galaxy-m14,phones,TH,seed_derived,1
20260730_04,110,xiaomi-14-ultra,phones,CN,seed_derived,1
20260730_04,110,xiaomi-14-ultra,phones,SG,seed_derived,1
20260730_04,110,xiaomi-14-ultra,phones,TH,seed_derived,1
20260730_04,111,xiaomi-redmi-note-13-pro,phones,CN,seed_derived,1
20260730_04,111,xiaomi-redmi-note-13-pro,phones,SG,seed_derived,1
20260730_04,111,xiaomi-redmi-note-13-pro,phones,TH,seed_derived,1
20260730_04,112,xiaomi-redmi-13c,phones,CN,seed_derived,1
