dataset,field,data_type,role,description,source,allowed_or_range,leakage_note
product_monthly_trends_synthetic.csv,delivered_orders,string,feature,Delivered orders,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,on_time_delivery_count,integer,feature,On time delivery count,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,defect_count,integer,feature,Defect count,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,ordered_qty_lag_1,integer,feature,Ordered qty lag 1,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,ordered_qty_lag_2,integer,feature,Ordered qty lag 2,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,ordered_qty_lag_3,integer,feature,Ordered qty lag 3,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,ordered_qty_trailing_mean_3,string,feature,Ordered qty trailing mean 3,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,gmv_trailing_mean_3,number,feature,Gmv trailing mean 3,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,quote_to_order_rate,number,feature,Quote to order rate,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,target_next_month_order_qty,integer,target,Target next month order qty,synthetic-demand-v1,,Never include this target in the input feature matrix.
product_monthly_trends_synthetic.csv,target_next_month_gmv_bdt,number,target,Target next month gmv bdt,synthetic-demand-v1,,Never include this target in the input feature matrix.
product_monthly_trends_synthetic.csv,target_next_month_trend,string,target,Target next month trend,synthetic-demand-v1,,Never include this target in the input feature matrix.
product_monthly_trends_synthetic.csv,feature_source,string,metadata,Feature source,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,label_source,string,metadata,Label source,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,is_synthetic,boolean,metadata,Is synthetic,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,simulation_version,string,metadata,Simulation version,synthetic-demand-v1,,
product_monthly_trends_synthetic.csv,simulation_seed,integer,metadata,Simulation seed,synthetic-demand-v1,,
real_sourcing_outcomes_template.csv,event_id,integer,identifier,Event id,future observed application events,,Use as a key only; exclude from generalization-focused model features.
real_sourcing_outcomes_template.csv,anonymous_quote_key,string,feature,Anonymous quote key,future observed application events,,
real_sourcing_outcomes_template.csv,anonymous_order_key,string,feature,Anonymous order key,future observed application events,,
real_sourcing_outcomes_template.csv,quote_captured_at_utc,datetime,feature,Quote captured at utc,future observed application events,,
real_sourcing_outcomes_template.csv,outcome_observed_at_utc,datetime,feature,Outcome observed at utc,future observed application events,,
real_sourcing_outcomes_template.csv,product_id,integer,feature,Product id,future observed application events,,Use as a key only; exclude from generalization-focused model features.
real_sourcing_outcomes_template.csv,variant_id,integer,feature,Variant id,future observed application events,,
real_sourcing_outcomes_template.csv,category_slug,string,feature,Category slug,future observed application events,,
real_sourcing_outcomes_template.csv,country_code,string,feature,Country code,future observed application events,,
real_sourcing_outcomes_template.csv,transport_mode,string,feature,Transport mode,future observed application events,,
real_sourcing_outcomes_template.csv,delivery_type,string,feature,Delivery type,future observed application events,,
real_sourcing_outcomes_template.csv,quantity,integer,feature,Quantity,future observed application events,,
real_sourcing_outcomes_template.csv,unit_weight_kg,number,feature,Unit weight kg,future observed application events,,
real_sourcing_outcomes_template.csv,unit_price_origin,number,feature,Unit price origin,future observed application events,,
real_sourcing_outcomes_template.csv,origin_currency,string,feature,Origin currency,future observed application events,,
real_sourcing_outcomes_template.csv,fx_rate_to_bdt_at_quote,number,feature,Fx rate to bdt at quote,future observed application events,,
real_sourcing_outcomes_template.csv,stock_at_quote,string,feature,Stock at quote,future observed application events,,
real_sourcing_outcomes_template.csv,moq_at_quote,string,feature,Moq at quote,future observed application events,,
real_sourcing_outcomes_template.csv,supplier_rating_at_quote,number,feature,Supplier rating at quote,future observed application events,,
real_sourcing_outcomes_template.csv,estimated_landed_cost_bdt,number,feature,Estimated landed cost bdt,future observed application events,,
real_sourcing_outcomes_template.csv,promised_eta_min_days,integer,feature,Promised eta min days,future observed application events,,
real_sourcing_outcomes_template.csv,promised_eta_max_days,integer,feature,Promised eta max days,future observed application events,,
real_sourcing_outcomes_template.csv,converted_to_order,string,target,Converted to order,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,payment_approved,string,target,Payment approved,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,actual_landed_cost_bdt,number,target,Actual landed cost bdt,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,actual_delivery_days,integer,target,Actual delivery days,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,delayed_flag,boolean,target,Delayed flag,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,cancelled_flag,boolean,target,Cancelled flag,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,refunded_flag,boolean,target,Refunded flag,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,quality_defect_flag,boolean,target,Quality defect flag,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,dispute_flag,boolean,target,Dispute flag,future observed application events,,Never include this target in the input feature matrix.
real_sourcing_outcomes_template.csv,feature_source,string,metadata,Feature source,future observed application events,,
real_sourcing_outcomes_template.csv,label_source,string,metadata,Label source,future observed application events,,
real_sourcing_outcomes_template.csv,is_synthetic,boolean,metadata,Is synthetic,future observed application events,,
