example_id,split,product_id,product_name,model,target_category_slug,target_category_name,feature_source,label_source,is_synthetic
category-27,validation,27,Skincare SKU20,SKU20,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-28,test,28,Cosmetics SKU21,SKU21,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-29,test,29,Haircare SKU22,SKU22,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-30,train,30,Cosmetics SKU23,SKU23,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-31,train,31,Haircare SKU24,SKU24,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-32,train,32,Haircare SKU25,SKU25,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-33,train,33,Haircare SKU26,SKU26,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-34,train,34,Cosmetics SKU27,SKU27,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-35,validation,35,Cosmetics SKU28,SKU28,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-36,train,36,Cosmetics SKU29,SKU29,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-37,train,37,Haircare SKU30,SKU30,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-38,train,38,Skincare SKU31,SKU31,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-39,validation,39,Skincare SKU32,SKU32,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-40,train,40,Cosmetics SKU33,SKU33,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-41,train,41,Skincare SKU34,SKU34,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-42,train,42,Cosmetics SKU35,SKU35,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-43,train,43,Skincare SKU36,SKU36,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-44,train,44,Skincare SKU37,SKU37,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-45,test,45,Cosmetics SKU38,SKU38,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-46,test,46,Skincare SKU39,SKU39,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-47,train,47,Skincare SKU40,SKU40,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-48,train,48,Skincare SKU41,SKU41,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-49,test,49,Skincare SKU42,SKU42,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-50,train,50,Haircare SKU43,SKU43,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-51,test,51,Cosmetics SKU44,SKU44,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-52,test,52,Haircare SKU45,SKU45,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-53,train,53,Haircare SKU46,SKU46,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-54,test,54,Skincare SKU47,SKU47,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-55,train,55,Haircare SKU48,SKU48,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-56,train,56,Cosmetics SKU49,SKU49,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-57,train,57,Cosmetics SKU50,SKU50,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-58,train,58,Haircare SKU51,SKU51,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-59,train,59,Skincare SKU52,SKU52,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-60,train,60,Skincare SKU53,SKU53,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-61,train,61,Haircare SKU54,SKU54,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-62,validation,62,Haircare SKU55,SKU55,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-63,validation,63,Skincare SKU56,SKU56,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-64,test,64,Haircare SKU57,SKU57,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-65,train,65,Skincare SKU58,SKU58,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-66,train,66,Cosmetics SKU59,SKU59,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-67,train,67,Skincare SKU60,SKU60,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-68,train,68,Haircare SKU61,SKU61,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-69,test,69,Cosmetics SKU62,SKU62,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-70,train,70,Skincare SKU63,SKU63,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-71,train,71,Skincare SKU64,SKU64,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-72,validation,72,Skincare SKU65,SKU65,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-73,train,73,Skincare SKU66,SKU66,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-74,train,74,Skincare SKU67,SKU67,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-75,train,75,Haircare SKU68,SKU68,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-76,train,76,Skincare SKU69,SKU69,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-77,train,77,Haircare SKU70,SKU70,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-78,train,78,Cosmetics SKU71,SKU71,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-79,test,79,Cosmetics SKU72,SKU72,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-80,train,80,Cosmetics SKU73,SKU73,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-81,train,81,Haircare SKU74,SKU74,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-82,validation,82,Skincare SKU75,SKU75,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-83,validation,83,Haircare SKU76,SKU76,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-84,train,84,Haircare SKU77,SKU77,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-85,train,85,Haircare SKU78,SKU78,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-86,train,86,Haircare SKU79,SKU79,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-87,train,87,Skincare SKU80,SKU80,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-88,validation,88,Haircare SKU81,SKU81,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-89,validation,89,Skincare SKU82,SKU82,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-90,train,90,Haircare SKU83,SKU83,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-91,test,91,Haircare SKU84,SKU84,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-92,train,92,Cosmetics SKU85,SKU85,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-93,train,93,Skincare SKU86,SKU86,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-94,validation,94,Haircare SKU87,SKU87,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-95,train,95,Cosmetics SKU88,SKU88,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-96,train,96,Cosmetics SKU89,SKU89,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-97,train,97,Skincare SKU90,SKU90,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-98,train,98,Cosmetics SKU91,SKU91,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-99,train,99,Cosmetics SKU92,SKU92,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-100,train,100,Haircare SKU93,SKU93,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-101,train,101,Cosmetics SKU94,SKU94,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-102,train,102,Haircare SKU95,SKU95,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-103,train,103,Cosmetics SKU96,SKU96,cosmetics,Cosmetics,seed_derived,catalog_taxonomy,1
category-104,test,104,Haircare SKU97,SKU97,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-105,train,105,Skincare SKU98,SKU98,skincare,Skincare,seed_derived,catalog_taxonomy,1
category-106,train,106,Haircare SKU99,SKU99,haircare,Haircare,seed_derived,catalog_taxonomy,1
category-107,train,107,Samsung Galaxy S24 Ultra,SM-S928B,phones,Phones,seed_derived,catalog_taxonomy,1
category-108,train,108,Samsung Galaxy A55,SM-A556B,phones,Phones,seed_derived,catalog_taxonomy,1
category-109,train,109,Samsung Galaxy M14,SM-M146B,phones,Phones,seed_derived,catalog_taxonomy,1
category-110,validation,110,Xiaomi 14 Ultra,23116PN5BC,phones,Phones,seed_derived,catalog_taxonomy,1
category-111,train,111,Xiaomi Redmi Note 13 Pro,23090RA98G,phones,Phones,seed_derived,catalog_taxonomy,1
category-112,train,112,Xiaomi Redmi 13C,23100RN82L,phones,Phones,seed_derived,catalog_taxonomy,1
category-113,validation,113,OPPO Reno 11 Pro,CPH2599,phones,Phones,seed_derived,catalog_taxonomy,1
category-114,test,114,OPPO A79 5G,CPH2557,phones,Phones,seed_derived,catalog_taxonomy,1
category-115,test,115,Vivo V29 Pro,V2250,phones,Phones,seed_derived,catalog_taxonomy,1
category-116,test,116,Vivo Y100,V2321,phones,Phones,seed_derived,catalog_taxonomy,1
category-117,train,117,Realme 12 Pro Plus,RMX3840,phones,Phones,seed_derived,catalog_taxonomy,1
category-118,train,118,Realme C67,RMX3890,phones,Phones,seed_derived,catalog_taxonomy,1
category-119,train,119,Tecno Spark 20 Pro,KJ6,phones,Phones,seed_derived,catalog_taxonomy,1
category-120,train,120,Tecno Camon 20,CK6,phones,Phones,seed_derived,catalog_taxonomy,1
category-121,train,121,Infinix Note 40 Pro,X6850,phones,Phones,seed_derived,catalog_taxonomy,1
category-122,train,122,Infinix Hot 40i,X6528B,phones,Phones,seed_derived,catalog_taxonomy,1
category-123,train,123,Motorola Edge 50 Pro,XT2429-1,phones,Phones,seed_derived,catalog_taxonomy,1
category-124,test,124,Motorola Moto G85,XT2357-1,phones,Phones,seed_derived,catalog_taxonomy,1
category-125,test,125,Nokia G42 5G,TA-1581,phones,Phones,seed_derived,catalog_taxonomy,1
category-126,train,126,Sony Xperia 10 VI,XQ-ES54,phones,Phones,seed_derived,catalog_taxonomy,1
category-127,train,127,Google Pixel 8a,G9GVN,phones,Phones,seed_derived,catalog_taxonomy,1
category-128,train,128,OnePlus 12R,CPH2609,phones,Phones,seed_derived,catalog_taxonomy,1
category-129,train,129,Honor 90 Smart,WDY-LX1,phones,Phones,seed_derived,catalog_taxonomy,1
category-130,validation,130,"Apple iPad Air M2 11""",MUWD3LL/A,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-131,train,131,Samsung Galaxy Tab S9 FE,SM-X510,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-132,train,132,Sony WH-1000XM5 Headphones,WH1000XM5/B,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-133,train,133,JBL Charge 5 Speaker,JBLCHARGE5BLK,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-134,train,134,Apple Watch Series 9 45mm,MR993LL/A,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-135,test,135,Samsung Galaxy Watch 6,SM-R930NZAAXFE,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-136,test,136,Garmin Forerunner 265,010-02810-01,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-137,test,137,Anker 737 Power Bank 24K,A1289,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-138,test,138,Baseus 65W GaN Charger,CCGP140201,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-139,train,139,"Xiaomi Smart TV A2 43""",L43M8-A2EU,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-140,test,140,"Philips 27"" 4K Monitor",27E1N5500,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-141,train,141,Logitech MX Master 3S Mouse,910-006556,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-142,train,142,Keychron K2 Pro Keyboard,K2P-B2,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-143,train,143,JBL Earbuds Live Pro 2,JBLLIVEPRO2TWS,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-144,train,144,Xiaomi Smart Band 8 Pro,BHR7208GL,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-145,train,145,TP-Link Deco XE75 Mesh WiFi,DECO XE75,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-146,train,146,Canon EOS R50 Camera,5811C002,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-147,train,147,DJI Mini 4 Pro Drone,CP.MA.00000731.01,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-148,train,148,Nintendo Switch OLED,HEG-001,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-149,validation,149,Xiaomi Portable Laser Projector,BHR5594GL,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-150,train,150,Anker Soundcore Liberty 4 NC,A3947,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-151,train,151,Belkin BoostCharge Pro 3-in-1,WIZ017dqWH,electronics,Electronics,seed_derived,catalog_taxonomy,1
category-152,train,152,NVIDIA GeForce RTX 4060 Ti,RTX 4060 Ti 8GB,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-153,train,153,AMD Radeon RX 7600 XT,RX 7600 XT 16GB,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-154,test,154,Intel Core i9-14900K,BX8071514900K,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-155,validation,155,AMD Ryzen 9 7950X,100-100000514WOF,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-156,test,156,Intel Core i5-14600K,BX8071514600K,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-157,train,157,AMD Ryzen 5 7600X,100-100000593WOF,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-158,validation,158,Kingston Fury Beast 32GB DDR5,KF556C40BBK2-32,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-159,train,159,Corsair Vengeance 16GB DDR5,CMK16GX5M1B5200C40,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-160,train,160,Samsung 980 Pro 2TB NVMe SSD,MZ-V8P2T0B/AM,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-161,test,161,WD Black SN850X 1TB SSD,WDS100T2X0E,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-162,train,162,Seagate Barracuda 4TB HDD,ST4000DM004,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-163,test,163,ASUS ROG Strix B650-F Gaming,90MB1BN0-M0EAY0,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-164,train,164,MSI MAG B760 Tomahawk WiFi,MAG B760 TOMAHAWK WIFI,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-165,train,165,Corsair RM1000x 1000W PSU,CP-9020201-EU,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-166,train,166,Seasonic Focus GX-850,SSR-850FX,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-167,train,167,Noctua NH-D15 CPU Cooler,NH-D15,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-168,train,168,Corsair iCUE H150i Elite LCD,CW-9060060-WW,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-169,train,169,Fractal Design Torrent Case,FD-C-TOR1A-01,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-170,train,170,Lian Li O11 Dynamic EVO,PC-O11DEX-3,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-171,train,171,Crucial T700 2TB PCIe 5.0 SSD,CT2000T700SSD3,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-172,train,172,G.Skill Trident Z5 RGB 64GB,F5-6400J3239G32GX2-TZ5RK,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-173,validation,173,ASUS ProArt PA329CRV 4K Monitor,PA329CRV,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-174,test,174,Razer Blade 16 RTX 4090,RZ09-0483,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-175,train,175,Elgato 4K60 Pro MK.2 Capture,10GAS9901,pc-components,PC Components,seed_derived,catalog_taxonomy,1
category-176,train,176,Xiaomi Mi Smart Tower Fan,ZLBPLDS05ZM,electronic,Fan,seed_derived,catalog_taxonomy,1
category-177,validation,177,Dyson Cool AM07 Tower Fan,300172-01,electronic,Fan,seed_derived,catalog_taxonomy,1
category-178,train,178,TP-Link Tapo Smart Ceiling Fan,TF10,electronic,Fan,seed_derived,catalog_taxonomy,1
category-179,train,179,"Orient Airmax Ceiling Fan 56""",AIRMAX-56-WH,electronic,Fan,seed_derived,catalog_taxonomy,1
category-180,validation,180,"Panasonic F-M15H5 Desk Fan 6""",F-M15H5,electronic,Fan,seed_derived,catalog_taxonomy,1
category-181,train,181,"Midea MAF14 14"" Stand Fan",MAF14,electronic,Fan,seed_derived,catalog_taxonomy,1
category-182,train,182,Walton WPF-16E Pedestal Fan,WPF-16E,electronic,Fan,seed_derived,catalog_taxonomy,1
category-183,train,183,"Vision Rechargeable Fan 12""",VRF-1200,electronic,Fan,seed_derived,catalog_taxonomy,1
category-184,train,184,Haier HF-14BLW Stand Fan,HF-14BLW,electronic,Fan,seed_derived,catalog_taxonomy,1
category-185,test,185,Samsung WindFree 1.5 Ton AC,AR18BYHYBWKNFE,electronic,Fan,seed_derived,catalog_taxonomy,1
category-186,test,186,General 1.5 Ton Split AC,ASGA18FMTA,electronic,Fan,seed_derived,catalog_taxonomy,1
category-187,train,187,Gree 1 Ton Inverter AC,GS-12XPUV32,electronic,Fan,seed_derived,catalog_taxonomy,1
category-188,validation,188,Xiaomi Mijia DC Inverter Fan,BPLDS05DM,electronic,Fan,seed_derived,catalog_taxonomy,1
category-189,train,189,Rowenta VU5670 Turbo Silence,VU5670,electronic,Fan,seed_derived,catalog_taxonomy,1
category-190,train,190,Honeywell HT-900 TurboForce Fan,HT-900,electronic,Fan,seed_derived,catalog_taxonomy,1
category-191,test,191,Vornado 630 Whole Room Fan,CR1-0121-06,electronic,Fan,seed_derived,catalog_taxonomy,1
category-192,train,192,"KDK 56"" Industrial Ceiling Fan",K14X9-BK,electronic,Fan,seed_derived,catalog_taxonomy,1
category-193,train,193,Bajaj Esteem 1200mm Ceiling Fan,252241,electronic,Fan,seed_derived,catalog_taxonomy,1
category-194,train,194,Crompton Energion Ceiling Fan,ENERGION-1200,electronic,Fan,seed_derived,catalog_taxonomy,1
category-195,train,195,Polar Windmill 900mm Table Fan,WM-900,electronic,Fan,seed_derived,catalog_taxonomy,1
category-196,train,196,Usha Striker Marvel Exhaust Fan,STRIKER-MARVEL,electronic,Fan,seed_derived,catalog_taxonomy,1
category-197,train,197,Havells Stealth Air Ceiling Fan,FHCSSTWOWH48,electronic,Fan,seed_derived,catalog_taxonomy,1
category-198,train,198,"Mistral 16"" Rechargeable Fan",MRF1613RB,electronic,Fan,seed_derived,catalog_taxonomy,1
category-199,test,199,"Midea MAF20 20"" Industrial Fan",MAF20-IND,electronic,Fan,seed_derived,catalog_taxonomy,1
category-200,test,200,Sharp PJ-A19RV Air Purifier Fan,PJ-A19RV,electronic,Fan,seed_derived,catalog_taxonomy,1
category-201,train,201,Siemens S7-1200 PLC CPU 1214C,6ES7214-1AG40-0XB0,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-202,test,202,Mitsubishi MELSEC FX5U-32MT PLC,FX5U-32MT/ES,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-203,train,203,Delta DVP32ES2 PLC,DVP32ES200T,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-204,validation,204,ABB ACS355-03E-07A3-4 VFD,ACS355-03E-07A3-4,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-205,train,205,Schneider Altivar ATV320U07N4B VFD,ATV320U07N4B,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-206,train,206,Keyence FS-N11P Fiber Sensor,FS-N11P,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-207,test,207,Omron E3Z-D61 Photoelectric Sensor,E3Z-D61,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-208,train,208,Sick DT35-B15251 Distance Sensor,DT35-B15251,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-209,train,209,Fanuc Alpha Series Servo Motor,A06B-0235-B605,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-210,train,210,Yaskawa SGMJV-04A Servo Drive,SGDV-2R8A01A002000,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-211,train,211,Beckhoff EK1100 EtherCAT Coupler,EK1100,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-212,train,212,Festo DSBC-63-100-PPSA Cylinder,DSBC-63-100-PPSA-N3,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-213,test,213,SMC AF40-N04D Air Filter,AF40-N04D,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-214,train,214,Phoenix Contact MKDS 3/2 Terminal,1715021,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-215,validation,215,IFM AL1321 IO-Link Master,AL1321,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-216,train,216,Cognex In-Sight 2000 Vision System,IS2000M-120-30-000,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-217,train,217,Turck Bi5U-M18-AP6X Inductive Sensor,Bi5U-M18-AP6X,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-218,train,218,Rexnord 1060-60 Gear Drive,1060-60,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-219,train,219,Leuze DDLS 200.1-2 Optical Sensor,DDLS 200.1-2,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-220,validation,220,Pepperl+Fuchs UB500-18GM75-E5-V1,UB500-18GM75-E5-V1,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-221,test,221,Bosch Rexroth Ball Screw R160520501,R160520501,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-222,train,222,Nord SK 072.1-71L4/TF Gearbox,SK 072.1-71L4/TF,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-223,train,223,Weidmuller WRS 1.5 Terminal Block,1020080000,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-224,test,224,Banner QS30LPQD Photoelectric,QS30LPQD,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-225,train,225,Parker D1VW001CNJB Hydraulic Valve,D1VW001CNJB,industrial-automation,Industrial Automation,seed_derived,catalog_taxonomy,1
category-226,train,226,Philips IntelliVue MX40 Monitor,866064,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-227,test,227,GE Healthcare MAC 800 ECG Machine,2032005-001,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-228,train,228,Mindray DC-30 Ultrasound,DC-30,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-229,train,229,Omron HEM-7600T Blood Pressure,HEM-7600T,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-230,train,230,Nonin 9590 Onyx II Pulse Oximeter,9590,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-231,validation,231,Welch Allyn 3.5V PanOptic Ophthalmoscope,11810,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-232,train,232,Masimo Radical-7 Pulse Oximeter,7360,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-233,train,233,Draeger Evita 600 Ventilator,MS31350,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-234,train,234,Medtronic Puritan Bennett 980,10074093,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-235,train,235,Carefusion Alaris 8015 Infusion Pump,8015,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-236,test,236,Nihon Kohden EEG-2100G Machine,EEG-2100G,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-237,train,237,Spacelabs 91369 Patient Monitor,91369,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-238,train,238,Philips HeartStart FRx AED,861304,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-239,validation,239,Zoll AED 3 Defibrillator,8600-001000-01,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-240,train,240,Edan iM50 Portable Monitor,01.21.064765,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-241,test,241,Contec CMS8000 ICU Monitor,CMS8000,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
category-242,validation,242,Bionet FC1400 Fetal Monitor,FC1400,medical-equipment,Medical Equipment,seed_derived,catalog_taxonomy,1
